gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_direction_combined_x,gaze_direction_combined_y,gaze_direction_combined_z,gaze_origin_left_x,gaze_origin_left_y,gaze_origin_left_z,gaze_origin_right_x,gaze_origin_right_y,gaze_origin_right_z,pupil_diameter_left,pupil_diameter_right,pupil_position_left_x,pupil_position_left_y,pupil_positi_right_x,pupil_positin_right_y,eye_open_left,eye_open_right,time,validity,emotion
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
0,0,0,-0.2027893,0.2960052,0.2960052,-0.2027893,0.2960052,0.9333954,0,0,0,0,0,0,-1,2.773514,0.6238225,0.6415212,0.4040297,0.6518628,0,0,0.02,True,False
-0.1054382,0.105484,0.9888,-0.08392334,0.186554,0.186554,-0.08392334,0.1865234,0.9788513,0,0,0,0,0,0,4.01593,4.265854,0.6124009,0.6016442,0.4143664,0.5678667,1,1,0.3533334,True,False
-0.068573,-0.01568604,0.9975128,-0.07646179,0.06274414,0.06274414,-0.07646179,0.06274414,0.9950867,0,0,0,0,0,0,3.399811,3.99437,0.6030883,0.607253,0.4201142,0.5880326,1,1,0.5564656,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0.2948899,0.7851924,0.5896996,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0.2948899,0.7851924,0.5929229,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0.2948899,0.7851924,0.5990179,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0.0154212,0.6605248,0.6101519,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0.6800693,0.6212223,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0.6800693,0.6325067,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0.46324,0.6854668,0.07907842,0.7022429,0.6435302,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0.66065,0.6780436,0.4625677,0.6525803,0.2903039,0.7806084,0.6546474,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0.6647125,0.6615898,0.4634784,0.6471153,0.2903039,0.7806084,0.6662374,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0.6579943,0.655731,0.4647728,0.639825,0.3775201,0.9107029,0.6768702,True,False
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0.6500667,0.6577538,0.4574825,0.6342139,0.4756956,1,0.6880493,True,False
-0.2081757,-0.1899719,0.9594574,-0.1944427,-0.12146,-0.12146,-0.1944427,-0.12146,0.9733582,0,0,0,0,0,0,3.852173,4.215317,0.6488173,0.6545678,0.4567577,0.623422,0.4756956,1,0.6991056,True,False
-0.2015381,-0.1929932,0.9602661,-0.2411804,0.02947998,0.02947998,-0.2411804,0.02947998,0.9700165,0,0,0,0,0,0,3.962646,4.075989,0.6457227,0.6541739,0.4558731,0.6268701,0.5967216,1,0.7104374,True,False
-0.2008209,-0.1528931,0.9676208,-0.2034454,0.1182556,0.1182556,-0.2034454,0.1182556,0.9719086,0,0,0,0,0,0,4.200439,4.238098,0.6426896,0.6474109,0.4519009,0.62414,0.7416816,1,0.7218798,True,False
-0.1936493,-0.1291046,0.9725342,-0.184021,-0.132843,-0.132843,-0.184021,-0.132843,0.9738922,0,0,0,0,0,0,4.241272,4.137619,0.6414125,0.6448357,0.451551,0.6232588,0.7416816,1,0.7328362,True,False
-0.189209,-0.1418457,0.9716339,-0.2060699,-0.09385681,-0.09385681,-0.2060699,-0.09385681,0.9740143,0,0,0,0,0,0,4.144714,4.180206,0.6398514,0.6476026,0.4509779,0.6203421,1,1,0.7436013,True,False
-0.2023773,-0.1287842,0.9707947,-0.1947479,-0.07276917,-0.07276917,-0.1947479,-0.07276917,0.9781342,0,0,0,0,0,0,4.201431,4.140625,0.639817,0.6473658,0.4488186,0.6170042,1,1,0.7547423,True,False
-0.1966553,-0.1165924,0.9735107,-0.1744385,-0.1026154,-0.1026154,-0.1744385,-0.1026154,0.9792938,0,0,0,0,0,0,4.262512,4.235291,0.6385766,0.6455739,0.4487011,0.6189078,1,1,0.7661741,True,False
-0.191925,-0.1102753,0.9751892,-0.1756897,-0.109726,-0.109726,-0.1756897,-0.109726,0.978302,0,0,0,0,0,0,4.296356,4.185028,0.6373187,0.6447958,0.4481854,0.6210616,1,1,0.7770706,True,False
-0.1950226,-0.1065979,0.9749756,-0.1770477,-0.1067505,-0.1067505,-0.1770477,-0.1067505,0.9783936,0,0,0,0,0,0,4.279846,4.231995,0.6372522,0.6431734,0.4477877,0.620544,1,1,0.7880732,True,False
-0.2014465,-0.09616089,0.974762,-0.1919098,-0.08589172,-0.08589172,-0.1919098,-0.08589172,0.9776306,0,0,0,0,0,0,4.35083,4.27211,0.6369424,0.642666,0.4471745,0.6183065,1,1,0.7994062,True,False
-0.1931,-0.1064911,0.9753723,-0.208313,-0.07310486,-0.07310486,-0.208313,-0.07310486,0.9753113,0,0,0,0,0,0,4.246277,4.256668,0.6366891,0.6410485,0.4470532,0.6181495,1,1,0.8103958,True,False
-0.193573,-0.1076355,0.9751587,-0.1924591,-0.09799194,-0.09799194,-0.1924591,-0.09799194,0.9763947,0,0,0,0,0,0,4.375015,4.242523,0.6352273,0.6415225,0.4468895,0.616685,1,1,0.8219395,True,False
-0.2068024,-0.09477234,0.9737701,-0.1918488,-0.09486389,-0.09486389,-0.1918488,-0.09486389,0.9768219,0,0,0,0,0,0,4.450394,4.307495,0.6364838,0.6400142,0.4469211,0.6145404,1,1,0.8328304,True,False
-0.2182007,-0.08178711,0.9724579,-0.1886749,-0.09384155,-0.09384155,-0.1886749,-0.09384155,0.9775391,0,0,0,0,0,0,4.342896,4.302963,0.6384671,0.6366092,0.4463855,0.61329,1,1,0.8436012,True,False
-0.2184753,-0.0866394,0.9719849,-0.1977386,-0.1022644,-0.1022644,-0.1977386,-0.1022644,0.9748993,0,0,0,0,0,0,4.381317,4.332199,0.6386291,0.6334419,0.4471704,0.6130915,1,1,0.8548583,True,False
-0.2257996,-0.07723999,0.9710999,-0.1980438,-0.09963989,-0.09963989,-0.1980438,-0.09963989,0.9751129,0,0,0,0,0,0,4.386917,4.306473,0.6396125,0.6304488,0.447046,0.6121998,1,1,0.8663141,True,False
-0.2184601,-0.07958984,0.97258,-0.1974945,-0.1026611,-0.1026611,-0.1974945,-0.1026611,0.9748993,0,0,0,0,0,0,4.400192,4.349197,0.6384194,0.6302034,0.4468954,0.6125295,1,1,0.8769717,True,False
-0.2203979,-0.07701111,0.9723511,-0.1955566,-0.1002655,-0.1002655,-0.1955719,-0.1002502,0.9755402,0,0,0,0,0,0,4.30455,4.312332,0.6393645,0.6293349,0.4470208,0.6121566,1,1,0.8882781,True,False
-0.220047,-0.08674622,0.9716187,-0.2039185,-0.09906006,-0.09906006,-0.2039185,-0.09906006,0.9739532,0,0,0,0,0,0,4.371292,4.360138,0.6398337,0.6313685,0.4485356,0.6125705,1,1,0.8991824,True,False
-0.2217407,-0.07759094,0.9720001,-0.2029572,-0.102005,-0.102005,-0.2029724,-0.1019897,0.9738464,0,0,0,0,0,0,4.37674,4.358948,0.6388621,0.6305318,0.4473189,0.6131956,1,1,0.9101831,True,False
-0.1081238,-0.1156921,0.987381,-0.09413147,-0.07225037,-0.07225037,-0.09413147,-0.07225037,0.9929199,0,0,0,0,0,0,4.030914,4.323471,0.6067546,0.6328442,0.4154027,0.6100987,1,1,0.9214677,True,False
-0.09663391,-0.1038208,0.9898834,-0.02815247,-0.1074829,-0.1074829,-0.09645081,-0.1038361,0.9898987,0,0,0,0,0,0,4.017685,3.746689,0.5967712,0.6291969,0.404213,0.6078241,1,1,0.9324098,True,False
-0.06347656,-0.1016235,0.9927826,0.01838684,-0.108078,-0.108078,-0.005889893,-0.1062469,0.9943085,0,0,0,0,0,0,4.078033,3.967209,0.5855817,0.6297419,0.3877205,0.6106545,1,1,0.9439464,True,False
