gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_direction_combined_x,gaze_direction_combined_y,gaze_direction_combined_z,gaze_origin_left_x,gaze_origin_left_y,gaze_origin_left_z,gaze_origin_right_x,gaze_origin_right_y,gaze_origin_right_z,pupil_diameter_left,pupil_diameter_right,pupil_position_left_x,pupil_position_left_y,pupil_positi_right_x,pupil_positin_right_y,eye_open_left,eye_open_right,time,validity,emotion
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
-0.0534668,-0.2226715,0.9734192,0.2234802,0.04695129,0.04695129,-0.0534668,-0.2226715,0.9734192,0,0,0,0,0,0,3.324738,4.510391,0.5238762,0.9012097,0.2621114,0.8333694,0.7763615,1,0.02,True,False
-0.1298676,-0.2227936,0.9661713,-0.127182,-0.09667969,-0.09667969,-0.1290131,-0.1711731,0.9767456,0,0,0,0,0,0,4.064697,4.150223,0.5460675,0.8993831,0.3504279,0.817216,1,1,0.3533334,True,False
-0.2169647,-0.2035522,0.9547119,-0.1744843,-0.09672546,-0.09672546,-0.1821442,-0.1156311,0.9764404,0,0,0,0,0,0,4.007736,4.292404,0.5732755,0.8939253,0.3696786,0.8094372,1,1,0.5635743,True,False
-0.2185516,-0.2016907,0.9547424,-0.1738434,-0.09187317,-0.09187317,-0.1851807,-0.1192627,0.9754333,0,0,0,0,0,0,4.015884,4.307495,0.5734441,0.8939253,0.3695525,0.8086051,1,1,0.6006436,True,False
-0.217926,-0.2080231,0.9535217,-0.1738739,-0.09356689,-0.09356689,-0.1847687,-0.1213379,0.9752502,0,0,0,0,0,0,4.007416,4.300797,0.5733598,0.8952401,0.3695704,0.8089581,1,1,0.6036748,True,False
-0.217926,-0.2080231,0.9535217,-0.1738739,-0.09356689,-0.09356689,-0.1847687,-0.1213379,0.9752502,0,0,0,0,0,0,4.007416,4.300797,0.5733598,0.8952401,0.3695704,0.8089581,1,1,0.6069283,True,False
-0.2180328,-0.2019348,0.9548187,-0.173584,-0.09115601,-0.09115601,-0.1843262,-0.1174774,0.9758148,0,0,0,0,0,0,4.015854,4.307785,0.5732755,0.8939253,0.3695525,0.8086051,1,1,0.6184564,True,False
-0.2115173,-0.2018127,0.9562988,-0.1737518,-0.09146118,-0.09146118,-0.1828156,-0.1174469,0.9760895,0,0,0,0,0,0,4.051926,4.322723,0.5719634,0.8939253,0.3695883,0.8087093,1,1,0.6299177,True,False
-0.2113953,-0.2047424,0.9557037,-0.1669159,-0.0916748,-0.0916748,-0.1768799,-0.1165466,0.9772949,0,0,0,0,0,0,4.030853,4.331726,0.5719634,0.8944544,0.3684538,0.8087093,1,1,0.6406454,True,False
-0.2083588,-0.2008209,0.9571991,-0.163269,-0.09165955,-0.09165955,-0.173233,-0.1154022,0.9780884,0,0,0,0,0,0,4.035767,4.347183,0.5713508,0.8935838,0.3677795,0.8087093,1,1,0.6520613,True,False
-0.2088928,-0.1998291,0.9572906,-0.1621246,-0.09141541,-0.09141541,-0.1719971,-0.1139679,0.9784698,0,0,0,0,0,0,4.056061,4.344925,0.5713508,0.8934582,0.3674965,0.8093111,1,1,0.6627315,True,False
-0.212616,-0.2000885,0.9564209,-0.1607971,-0.0905304,-0.0905304,-0.1717072,-0.1132965,0.9786072,0,0,0,0,0,0,4.056,4.344315,0.5719634,0.8934582,0.3672257,0.8093111,1,1,0.6737972,True,False
-0.2126617,-0.2001648,0.9563904,-0.1608276,-0.09040833,-0.09040833,-0.1715546,-0.1128235,0.9786835,0,0,0,0,0,0,4.057877,4.354065,0.5719634,0.8934582,0.3672257,0.8093111,1,1,0.6850957,True,False
-0.2145233,-0.2011108,0.95578,-0.1584778,-0.08711243,-0.08711243,-0.1702423,-0.1107178,0.9791565,0,0,0,0,0,0,4.074753,4.354874,0.5719634,0.8935838,0.3667165,0.8087093,1,1,0.6967369,True,False
-0.21492,-0.205658,0.9547272,-0.1598663,-0.08691406,-0.08691406,-0.1711731,-0.1109161,0.9789734,0,0,0,0,0,0,4.070084,4.360352,0.5719634,0.8944544,0.3667165,0.8087093,1,1,0.7072284,True,False
-0.21492,-0.205658,0.9547272,-0.1595764,-0.08712769,-0.08712769,-0.1707458,-0.1107025,0.9790649,0,0,0,0,0,0,4.070084,4.36026,0.5719634,0.8944544,0.366669,0.8087093,1,1,0.7185686,True,False
-0.1516724,-0.3043823,0.9403839,-0.1595612,-0.08039856,-0.08039856,-0.1588593,-0.1164551,0.9803925,0,0,0,0,0,0,3.817673,4.373138,0.5619168,0.9169549,0.3667165,0.8074333,1,1,0.729556,True,False
-0.2300568,-0.1613464,0.9597015,-0.1595459,-0.08024597,-0.08024597,-0.171875,-0.09434509,0.9805756,0,0,0,0,0,0,4.238541,4.373245,0.5743542,0.8884165,0.3667165,0.8073831,1,1,0.7407871,True,False
-0.1738281,-0.1831055,0.9675903,-0.1599426,-0.08221436,-0.08221436,-0.1622314,-0.09805298,0.9818573,0,0,0,0,0,0,4.176682,4.372864,0.5643099,0.892951,0.3667165,0.8073831,1,1,0.7517681,True,False
-0.2341003,-0.2518921,0.9390106,-0.1549377,-0.07225037,-0.07225037,-0.1646271,-0.09364319,0.9818878,0,0,0,0,0,0,4.012817,4.41185,0.575093,0.9099565,0.3646935,0.8045245,1,1,0.7626649,True,False
-0.1990509,-0.1797791,0.9633484,-0.1557159,-0.08453369,-0.08453369,-0.1615143,-0.09712219,0.9820709,0,0,0,0,0,0,4.128494,4.416733,0.5673887,0.8940289,0.3643419,0.8065103,1,1,0.7737662,True,False
-0.2124481,-0.2322845,0.9491425,-0.1472931,-0.08538818,-0.08538818,-0.1560822,-0.1048279,0.9821625,0,0,0,0,0,0,4.119278,4.415131,0.5699711,0.906219,0.3626373,0.8064792,1,1,0.7850519,True,False
